

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Appling                       1753                          890                           3874                          9                             6526                          334                           587                           855                           3                             1779                          5                             5                             26                            0                             36                            8341                          
Atkinson                      716                           164                           1419                          1                             2300                          250                           130                           445                           0                             825                           14                            3                             13                            0                             30                            3155                          
Bacon                         431                           487                           3099                          1                             4018                          140                           196                           288                           1                             625                           8                             4                             13                            0                             25                            4668                          
Baker                         291                           138                           466                           2                             897                           149                           234                           269                           0                             652                           2                             2                             2                             0                             6                             1555                          
Baldwin                       1873                          1290                          5736                          4                             8903                          1527                          3000                          4612                          1                             9140                          63                            38                            107                           0                             208                           18251                         
Banks                         1644                          1025                          5116                          10                            7795                          150                           344                           435                           3                             932                           20                            9                             45                            0                             74                            8801                          
Barrow                        5885                          4134                          16782                         3                             26804                         1717                          3583                          5150                          3                             10453                         226                           131                           307                           0                             664                           37921                         
Bartow                        10179                         5976                          21499                         20                            37674                         2175                          4486                          5423                          8                             12092                         276                           148                           275                           2                             701                           50467                         
Ben Hill                      441                           528                           3140                          1                             4110                          336                           714                           1342                          0                             2392                          18                            8                             32                            0                             58                            6560                          
Berrien                       1835                          749                           3825                          10                            6419                          333                           367                           568                           1                             1269                          21                            9                             25                            0                             55                            7743                          
Bibb                          7922                          5375                          13234                         54                            26585                         8704                          14264                         20384                         116                           43468                         299                           174                           273                           3                             749                           70802                         
Bleckley                      942                           614                           2770                          2                             4328                          295                           428                           588                           0                             1311                          20                            10                            37                            0                             67                            5706                          
Brantley                      1992                          685                           4307                          7                             6991                          145                           204                           349                           1                             699                           24                            11                            21                            0                             56                            7746                          
Brooks                        1423                          519                           2312                          6                             4260                          522                           1115                          1149                          4                             2790                          16                            9                             25                            0                             50                            7100                          
Bryan                         2579                          1588                          10072                         5                             14244                         838                           2105                          3794                          2                             6739                          108                           72                            177                           0                             357                           21340                         
Bulloch                       6653                          2800                          8910                          23                            18386                         2415                          3530                          5263                          35                            11243                         192                           87                            175                           1                             455                           30084                         
Burke                         1949                          649                           2802                          0                             5400                          1490                          1867                          1852                          0                             5209                          25                            14                            36                            0                             75                            10684                         
Butts                         824                           1137                          6443                          2                             8406                          376                           973                           1924                          1                             3274                          22                            20                            49                            0                             91                            11771                         
Calhoun                       279                           150                           494                           0                             923                           361                           436                           463                           0                             1260                          6                             3                             2                             0                             11                            2194                          
Camden                        3621                          2161                          9465                          4                             15251                         1166                          2777                          4021                          3                             7967                          170                           95                            205                           0                             470                           23688                         
Candler                       431                           375                           2327                          0                             3133                          193                           376                           699                           1                             1269                          14                            4                             11                            0                             29                            4431                          
Carroll                       11071                         4699                          21676                         30                            37476                         3007                          4634                          8582                          15                            16238                         278                           125                           357                           0                             760                           54474                         
Catoosa                       5170                          2952                          17025                         20                            25167                         976                           2130                          3823                          3                             6932                          178                           78                            236                           2                             494                           32593                         
Charlton                      1124                          397                           1896                          2                             3419                          233                           294                           576                           0                             1103                          17                            7                             20                            0                             44                            4566                          
Chatham                       18346                         11781                         23014                         96                            53237                         17952                         29037                         31085                         180                           78254                         889                           506                           519                           15                            1929                          133420                        
Chattahoochee                 291                           132                           455                           2                             880                           150                           166                           350                           1                             667                           17                            9                             8                             1                             35                            1582                          
Chattooga                     2464                          1102                          4492                          6                             8064                          366                           649                           837                           2                             1854                          50                            25                            57                            0                             132                           10050                         
Cherokee                      23758                         19639                         56171                         19                            99587                         6598                          17261                         18929                         6                             42794                         921                           628                           899                           1                             2449                          144830                        
Clarke                        3409                          4048                          6974                          15                            14446                         5323                          14329                         16357                         39                            36048                         268                           243                           325                           3                             839                           51333                         
Clay                          131                           105                           401                           0                             637                           165                           296                           329                           0                             790                           5                             2                             0                             0                             7                             1434                          
Clayton                       3403                          4366                          7988                          56                            15813                         16580                         27109                         51347                         440                           95476                         343                           312                           397                           3                             1055                          112344                        
Clinch                        618                           209                           1277                          1                             2105                          235                           156                           356                           0                             747                           2                             2                             8                             0                             12                            2864                          
Cobb                          37609                         50764                         76907                         179                           165459                        30599                         95513                         95387                         347                           221846                        2157                          2320                          1952                          12                            6441                          393746                        
Coffee                        2587                          917                           7066                          8                             10578                         1100                          995                           2411                          5                             4511                          41                            17                            67                            0                             125                           15214                         
Colquitt                      4270                          1365                          6132                          10                            11777                         1108                          1199                          1877                          3                             4187                          50                            20                            49                            0                             119                           16083                         
Columbia                      13300                         7023                          29643                         47                            50013                         5009                          9546                          14648                         33                            29236                         514                           241                           575                           0                             1330                          80579                         
Cook                          1113                          486                           3301                          0                             4900                          538                           512                           1008                          1                             2059                          26                            14                            36                            0                             76                            7035                          
Coweta                        18273                         9400                          23824                         4                             51501                         5330                          9288                          9578                          14                            24210                         498                           304                           283                           3                             1088                          76799                         
Crawford                      1152                          562                           2713                          1                             4428                          263                           524                           827                           1                             1615                          21                            10                            28                            0                             59                            6102                          
Crisp                         977                           780                           3227                          3                             4987                          571                           886                           1527                          2                             2986                          23                            10                            33                            0                             66                            8039                          
Dade                          2010                          635                           3414                          7                             6066                          243                           377                           640                           1                             1261                          51                            12                            44                            0                             107                           7434                          
Dawson                        2336                          1964                          9095                          3                             13398                         254                           1051                          1181                          0                             2486                          62                            44                            90                            1                             197                           16081                         
Decatur                       1469                          832                           4451                          6                             6758                          788                           1472                          2512                          8                             4780                          20                            23                            46                            0                             89                            11627                         
DeKalb                        12126                         16078                         29966                         203                           58373                         33634                         110666                        162718                        1209                          308227                        1122                          1356                          1707                          19                            4204                          370804                        
Dodge                         2335                          711                           2793                          4                             5843                          550                           580                           1040                          1                             2171                          34                            10                            11                            1                             56                            8070                          
Dooly                         466                           259                           1431                          3                             2159                          482                           476                           951                           2                             1911                          10                            7                             18                            0                             35                            4105                          
Dougherty                     4259                          2355                          3818                          22                            10454                         7317                          8052                          9124                          84                            24577                         133                           70                            74                            3                             280                           35311                         
Douglas                       4863                          5434                          15139                         15                            25451                         5963                          13998                         22804                         44                            42809                         259                           227                           349                           2                             837                           69097                         
Early                         799                           416                           1504                          3                             2722                          646                           684                           1107                          0                             2437                          7                             6                             15                            0                             28                            5187                          
Echols                        226                           121                           909                           0                             1256                          33                            32                            102                           0                             167                           4                             3                             11                            0                             18                            1441                          
Effingham                     7350                          2520                          13471                         17                            23358                         1752                          2333                          3623                          12                            7720                          233                           92                            167                           0                             492                           31570                         
Elbert                        1837                          981                           3408                          0                             6226                          529                           1082                          1268                          0                             2879                          30                            13                            23                            0                             66                            9171                          
Emanuel                       2528                          896                           3126                          1                             6551                          842                           808                           1234                          0                             2884                          36                            7                             22                            1                             66                            9501                          
Evans                         471                           491                           1926                          0                             2888                          236                           347                           741                           0                             1324                          12                            12                            11                            0                             35                            4247                          
Fannin                        4163                          2253                          5730                          23                            12169                         384                           1159                          1028                          0                             2571                          43                            32                            35                            0                             110                           14850                         
